  ◆  swag        unittest • sources
  Test-ABI_AddressedNarrowIntegerHomeUsesNarrowLoad  ok (192 us)
  Test-ABI_SwagSimdArgsUseExtendedRegistersThenWideStackSlots  ok (0 us)
  Test-FFI_CallNativeNoArgBool  ok (278 us)
  Test-FFI_CallNativeU8       ok (100 us)
  Test-FFI_CallNativeI32      ok (32 us)
  Test-FFI_CallNativeF32      ok (36 us)
  Test-FFI_CallNativeF64      ok (28 us)
  Test-FFI_CallNativeF64StackArg  ok (100 us)
  Test-FFI_CallNativeMixedArgs  ok (32 us)
  Test-FFI_CallNativeStackArgs  ok (100 us)
  Test-FFI_CallNativePointerArg  ok (35 us)
  Test-ABI_SwagStructArgPassingMatchesNative  ok (0 us)
  Test-FFI_CallSwagStructByValueInteropDevMode  ok (265 ms)
  Test-FFI_CallSwagStructByValueInteropRelease  ok (186 ms)
  Test-FFI_CallNativeStructByValueRegister  ok (106 us)
  Test-FFI_CallNativeStructByValueStack  ok (43 us)
  Test-FFI_CallNativeStructByReferenceCopy  ok (32 us)
  Test-FFI_CallNativeStructReturnByValueRegister  ok (30 us)
  Test-FFI_CallNativeStructReturnByReference  ok (32 us)
  Test-ConstantManager_CopiesBorrowedStructPayloadOutsideDataSegment  ok (16 us)
  Test-ConstantManager_StoresNullableCStringFromBlockPointer  ok (3 us)
  Test-ConstantValue_MakesNullableCStringFromRuntimePointer  ok (1 us)
  Test-ConstantManager_CopiesBorrowedArrayPayloadOutsideDataSegment  ok (6 us)
  Test-ConstantManager_DeduplicatesBorrowedArrayPayloadsByValue  ok (5 us)
  Test-ConstantManager_CachesZeroPayloadConstantsByType  ok (7 us)
  Test-ConstantManager_CopiesBorrowedSlicePayloadOutsideDataSegment  ok (3 us)
  Test-ConstantManager_AcceptsEmptyBorrowedSlicePayloads  ok (6 us)
  Test-ConstantManager_DistinguishesPresentEmptySlicePayloads  ok (15 us)
  Test-ConstantManager_DeduplicatesMaterializedArrayPayloadConstants  ok (4 us)
  Test-ConstantManager_DoesNotDeduplicateMaterializedArrayPayloadsWithDifferentRelocations  ok (5 us)
  Test-ConstantManager_OwnsAggregateElementsAfterInputsAreDestroyed  ok (123 us)
  Test-ConstantManager_ReleasesOwnedAggregatePayloads  ok (5 ms)
  Test-ConstantManager_PreservesStringNormalizationOnRepeatedInputs  ok (85 us)
  Test-ConstantManager_PublishesCanonicalReferencesAcrossGrowth  ok (5 ms)
  Test-ConstantManager_EnrichesStorageReferencesWithoutMutatingInputs  ok (99 us)
  Test-Compiler_NewScriptCommandParsesDefaultPath  ok (55 us)
  Test-Compiler_CommandLineHelpStopsBeforeCompilation  ok (85 us)
  Test-Compiler_NewModuleCommandParsesWorkspace  ok (35 us)
  Test-Compiler_DocSearchPreservesLiteralCode  ok (8 us)
  Test-Compiler_DocCommandParsesOptions  ok (342 us)
  Test-Compiler_DocMarkdownRendersSupportedBlocks  ok (73 us)
  Test-Compiler_DocBlockCommentsPreserveCodeIndentation  ok (8 us)
  Test-Compiler_DocMarkdownRendersCompleteLists  ok (46 us)
