function,baseline_instructions,baseline_bytes,final_instructions,final_bytes,llvm_instructions,llvm_bytes
zeroEq,4,10,4,9,4,9
zeroNe,4,10,4,9,4,9
lessTen,4,11,4,10,4,10
atLeastTen,4,11,4,10,4,10
bitThree,4,11,4,10,4,10
wordHigh,3,8,3,7,3,7
selectFiveThree,5,18,5,14,5,17
selectNineOne,5,18,5,17,5,17
selectSevenZero,5,18,5,12,5,16
selectFourThree,5,18,4,10,4,10
shiftOr,5,15,4,11,3,12
shiftAnd,5,15,4,11,3,12
shiftXor,5,15,4,11,3,12
shiftAdd,3,9,3,9,3,9
shiftSubtract,5,15,4,11,3,12
rightOr,5,15,4,11,4,11
rightAnd,5,15,4,11,4,11
rightXor,5,15,4,11,4,11
factorMultiply,4,12,3,8,3,8
signedDivideTwo,6,18,5,14,5,14
signedDivideThree,8,31,7,27,7,27
signedDivideSeven,9,34,8,30,8,30
signedModuloThree,11,40,10,37,10,37
signedNegative,4,10,3,8,3,8
signedSelect,5,20,5,17,5,17
