function,baseline_instructions,baseline_bytes,final_instructions,final_bytes,llvm_instructions,llvm_bytes
factorOr,9,25,4,10,4,10
factorAnd,9,25,4,10,4,10
absorbOr,6,16,2,4,2,4
absorbAnd,6,16,2,4,2,4
cancelXor,7,19,2,4,2,4
cancelSub,7,19,2,4,2,4
maskedShift,4,12,3,7,3,7
shiftMask,4,15,3,7,3,7
shiftPair,4,12,4,12,3,14
notXor,6,16,3,7,3,7
mergeMasks,6,21,2,4,2,4
blend,9,25,5,13,5,13
mul7,6,18,3,8,3,12
mul10,6,18,3,8,3,8
mul12,6,18,3,8,3,9
mul15,6,18,3,8,3,9
mul17,6,18,3,8,4,11
div7,12,42,8,31,8,31
mod7,16,55,12,43,12,47
boolMask,7,26,4,9,4,9
doubleAdd,5,13,2,5,2,5
scaleThree,3,8,2,5,2,5
scaleFive,3,8,2,5,2,5
scaleNine,3,8,2,5,2,5
scaleThenAdd,5,14,3,8,3,8
shiftThenAdd,4,11,2,5,2,5
sumThenDouble,5,13,3,8,3,8
maskThenAdd,6,18,4,10,4,10
highByte,4,12,2,4,2,4
wordShift,4,12,3,7,3,7
shiftMask24,4,15,3,7,3,7
shiftMaskTop,5,21,3,8,3,8
rotate13,3,8,3,8,3,8
complementOr,5,13,4,10,4,10
complementAnd,5,13,4,10,4,10
xorNot,6,16,4,10,4,10
addNeg,7,20,3,7,3,7
minusNeg,7,20,2,5,2,5
mulNegOne,6,20,3,7,3,7
lowPowerTest,6,18,4,8,4,8
flagPower,7,24,5,12,5,12
flagLarge,7,29,5,13,5,13
flagAdd,8,23,4,11,4,11
minValue,5,14,4,11,4,11
maxValue,5,14,4,11,4,11
minZero,5,20,4,14,4,14
differenceZero,6,17,4,9,4,9
divideThree,8,29,6,23,6,23
moduloThree,11,39,8,30,8,30
divideTen,8,30,6,24,6,24
moduloTen,11,40,8,31,9,35
