function,baseline_instructions,baseline_bytes,final_instructions,final_bytes,llvm_instructions,llvm_bytes
minUnsigned,4,11,4,11,4,11
maxUnsigned,4,11,4,11,4,11
minSigned,4,11,4,11,4,11
maxSigned,4,11,4,11,4,11
clampUnsigned,4,14,4,14,4,14
clampSigned,7,29,7,29,7,29
absSigned,5,14,5,14,4,11
zeroSelect,4,11,4,11,4,11
bitSelect,4,12,4,12,4,11
bitTimesValue,4,12,4,12,4,10
addIfZero,5,12,5,12,4,12
addIfNotZero,5,12,5,12,4,12
subtractIfBelow,6,15,4,11,4,11
addIfAboveEqual,5,12,4,11,4,11
equalMask,5,12,4,10,4,10
notEqualMask,5,12,4,9,4,9
factorProducts,5,15,3,9,3,9
subtractProducts,5,15,4,11,4,11
cancelProducts,6,19,2,4,2,4
squareSum,4,11,3,9,3,9
xorOr,5,13,4,10,4,10
andXor,5,13,4,10,4,10
orMinusAnd,5,13,5,13,3,7
xorPlusCarry,5,14,5,14,5,14
divideAndRemainder,12,50,8,31,7,27
dynamicDivideRemainder,11,31,11,31,13,33
signedModuloTwo,9,26,6,18,6,18
signedModuloEight,10,32,7,22,7,22
signedModuloNegativeEight,6,19,6,19,7,22
roundDownEight,4,12,3,8,3,8
signedRoundDownEight,4,12,3,8,3,8
shiftMasked,3,10,2,6,4,9
